令和３年経済センサス‐活動調査　事業所に関する集計－産業横断的集計－事業所数、従業者数,,,,,,,,,
第６－１表　産業(中分類)別民営事業所数、男女別従業者数、常用雇用者数、出向・派遣従業者数及び事業従事者数－全国、都道府県、市区町村,,,,,,,,,
,,,,,,,,,
1) 「従業者数_男女計」など、男女計の人数には男女の別「不詳」を含む,,,,,,,,,
2) 他からの出向・派遣従業者数：出向・派遣の別「不詳」を含む,,,,,,,,,
3) 事業従事者数＝「従業者数」－「うち他への出向・派遣従業者数」＋「他からの出向・派遣従業者数」,,,,,,,,,
,,,,,事業所数,従業者数_男女計,従業者数_男,従業者数_女,従業者数_うち常用雇用者_男女計
,,,,,(事業所),(人),(人),(人),(人)
地域識別コード,地域区分,階層,産業大分類,産業中分類, ,,,,
2,35201_下関市,1,AR,AR_全産業（S_公務を除く）,"11,167","106,896","54,902","49,216","91,649"
2,35201_下関市,1,AB,AB_農林漁業,93,"1,198",788,410,787
2,35201_下関市,2,A,A_農業，林業,83,"1,076",671,405,683
2,35201_下関市,4,A,01_農業,76,973,583,390,603
2,35201_下関市,4,A,02_林業,7,103,88,15,80
2,35201_下関市,2,B,B_漁業,10,122,117,5,104
2,35201_下関市,4,B,03_漁業（水産養殖業を除く）,9,111,107,4,103
2,35201_下関市,4,B,04_水産養殖業,1,11,10,1,1
2,35201_下関市,1,CR,CR_非農林漁業（S_公務を除く）,"11,074","105,698","54,114","48,806","90,862"
2,35201_下関市,2,C,C_鉱業，採石業，砂利採取業,6,49,41,8,42
2,35201_下関市,4,C,05_鉱業，採石業，砂利採取業,6,49,41,8,42
2,35201_下関市,2,D,D_建設業,968,"6,640","5,317","1,308","5,011"
2,35201_下関市,4,D,06_総合工事業,406,"3,049","2,404",641,"2,325"
2,35201_下関市,4,D,07_職別工事業（設備工事業を除く）,305,"1,679","1,318",353,"1,190"
2,35201_下関市,4,D,08_設備工事業,257,"1,912","1,595",314,"1,496"
2,35201_下関市,2,E,E_製造業,659,"16,347","11,404","4,941","15,167"
2,35201_下関市,4,E,09_食料品製造業,166,"4,440","1,989","2,451","4,162"
2,35201_下関市,4,E,10_飲料・たばこ・飼料製造業,11,168,124,44,146
2,35201_下関市,4,E,11_繊維工業,28,335,138,197,303
2,35201_下関市,4,E,12_木材・木製品製造業（家具を除く）,21,326,267,59,279
2,35201_下関市,4,E,13_家具・装備品製造業,24,103,73,30,67
2,35201_下関市,4,E,14_パルプ・紙・紙加工品製造業,6,78,48,30,73
2,35201_下関市,4,E,15_印刷・同関連業,28,478,309,169,435
2,35201_下関市,4,E,16_化学工業,14,418,306,112,399
2,35201_下関市,4,E,17_石油製品・石炭製品製造業,4,23,21,2,19
2,35201_下関市,4,E,18_プラスチック製品製造業（別掲を除く）,9,135,91,44,127
2,35201_下関市,4,E,19_ゴム製品製造業,9,"1,149",996,153,"1,131"
